number,rank,title,recruitment,recruitment_bin,postedresults,resultsarrived_bin,conditions,intervention.merge,phase2,enrollment,gender,fund_source_grp,interventionmodel,randomized,purpose,yearreceived,yearstart,primarylength,intervention.model,phase,masking,testing,masking2,enrollment.log,enrollment.log.cut
1539,1675,impact of fecal biotherapy (fbt) on microbial diversity in patients with moderate to severe inflammatory bowel disease,Completed,4,0,0,Crohn's Disease,drug or biologic,Early,22,All,AllOther,0,NA,4,2013,2013,1280,0,Phase 1,1,NA,1,3.091042453358316,"(3,4]"
859,901,"bruog 302:byl719, capecitabine and radiation for rectal cancer: a brown university oncology research group study",Terminated,5,1,1,Rectal Cancer,drug or biologic,Early,7,All,AllOther,NA,1,0,2015,2016,896,NA,Phase 1,0,NA,0,1.9459101490553132,"(1,2]"
271,275,phase 0 biodistribution of novel imaging for resectable pancreatic cancer,Terminated,5,0,0,Pancreatic Ductal Adenocarcinoma,drug or biologic,Early,3,All,AllOther,0,NA,2,2013,2013,791,0,Early Phase 1,1,NA,1,1.0986122886681098,"(1,2]"
1420,1527,fmt for mdro colonization after infection in renal transplant recipients,Recruiting,2,0,0,Infection Due to Resistant Organism,drug or biologic,Early,20,All,Industry&Combos,1,0,0,2016,2016,1643,1,Phase 1,0,NA,0,2.995732273553991,"(2,3]"
935,983,a study of evacetrapib (ly2484595) in participants with hepatic (liver) impairment,Completed,4,1,1,Hepatic Insufficiency,drug or biologic,Early,32,All,Industry&Combos,1,1,4,2013,2013,183,1,Phase 1,0,NA,0,3.4657359027997265,"(3,4]"
2047,2422,gb004 in adult subjects with active ulcerative colitis,Completed,4,0,0,Ulcerative Colitis,drug or biologic,Early,34,All,Industry&Combos,1,0,0,2019,2019,237,1,Phase 1,2,NA,2,3.5263605246161616,"(3,4]"
598,624,fecal microbiota transplant in the treatment of ulcerative colitis,Unknown status,8,0,0,"Ulcerative Colitis, Active Moderate",drug or biologic,Early,20,All,AllOther,1,0,0,2015,2015,731,1,Early Phase 1,2,NA,2,2.995732273553991,"(2,3]"
158,158,trial of pallov-cc in colon cancer,Recruiting,2,0,0,Colon Cancer,drug or biologic,Early,24,All,Industry&Combos,NA,1,0,2019,2019,823,NA,Phase 1,0,NA,0,3.1780538303479458,"(3,4]"
1248,1333,a study to assess the effect of high fat meal and increased gastric ph on the bioavailability of an extended release formulation of bms-663068 in healthy subjects,Completed,4,0,0,"Infection, Human Immunodeficiency Virus",drug or biologic,Early,72,All,Industry&Combos,3,0,4,2016,2016,26,3,Phase 1,NA,NA,NA,4.276666119016055,"(4,5]"
703,737,proton beam therapy to treat esophageal cancer,Terminated,5,0,0,Esophageal Squamous Cell Carcinoma|Adenocarcinoma Of Esophagus,other,Others,3,All,AllOther,0,1,0,2013,2014,455,0,Others,1,NA,1,1.0986122886681098,"(1,2]"
3266,4598,"a phase 1, open-label study of intravenous sildenafil in patients with cirrhosis",Terminated,5,0,0,Cirrhosis,drug or biologic,Early,2,All,AllOther,0,NA,0,2013,2014,518,0,Phase 1,1,NA,1,0.6931471805599453,"(0,1]"
1917,2233,defined green tea catechin extract in preventing liver cancer in patients with cirrhosis,Recruiting,2,0,0,Cirrhosis,drug or biologic,Early,48,All,NIH&Combos,0,NA,1,2017,2018,1056,0,Phase 1,1,NA,1,3.871201010907891,"(3,4]"
448,460,veliparib in combination with gemcitabine and intensity modulated radiation therapy in patients with pancreatic cancer,Completed,4,0,0,Pancreatic Cancer,drug or biologic,Early,34,All,Industry&Combos,0,NA,0,2013,2013,1381,0,Phase 1,1,NA,1,3.5263605246161616,"(3,4]"
2018,2384,"amp-224, a pd-1 inhibitor, with stereotactic body radiation therapy in metastatic colorectal cancer",Completed,4,1,1,Colorectal Cancer|Colorectal Neoplasms|Colorectal Carcinoma,drug or biologic,Early,17,All,NIH&Combos,0,1,0,2014,2014,600,0,Phase 1,1,NA,1,2.833213344056216,"(2,3]"
56,56,the gut-brain study,Recruiting,2,0,0,Autism Spectrum Disorder (ASD)|Gastro-Intestinal Disorder,drug or biologic,Early,10,All,AllOther,1,0,0,2018,2019,929,1,Phase 1,4,NA,2,2.302585092994046,"(2,3]"
1776,1998,regorafenib and nivolumab in mismatch repair (mmr) refractory colorectal cancer,"Active, not recruiting",1,0,0,Colorectal Cancer|Metastatic Colorectal Cancer|Colon Cancer,drug or biologic,Early,52,All,Industry&Combos,NA,1,0,2018,2018,1044,NA,Phase 1,0,NA,0,3.9512437185814275,"(3,4]"
2271,2828,safety and efficacy study of pri-724 plus gemcitabine in subjects with advanced or metastatic pancreatic adenocarcinoma,Completed,4,0,0,Advanced Pancreatic Cancer|Metastatic Pancreatic Cancer|Pancreatic Adenocarcinoma,drug or biologic,Early,20,All,Industry&Combos,0,NA,0,2013,2013,913,0,Phase 1,1,safety/efficacy,1,2.995732273553991,"(2,3]"
820,858,trametinib and hydroxychloroquine in treating patients with pancreatic cancer,Recruiting,2,0,0,Metastatic Pancreatic Carcinoma|Stage II Pancreatic Cancer|Stage IIA Pancreatic Cancer|Stage IIB Pancreatic Cancer|Stage III Pancreatic Cancer|Stage IV Pancreatic Cancer|Unresectable Pancreatic Carcinoma,drug or biologic,Early,33,All,Industry&Combos,0,NA,0,2019,2019,1826,0,Phase 1,1,NA,1,3.4965075614664802,"(3,4]"
189,191,localized therapeutics for the treatment of gastrointestinal disorders ii,Completed,4,0,0,"Colitis, Ulcerative",drug or biologic,Early,3,All,AllOther,0,NA,0,2016,2016,670,0,Phase 1,1,NA,1,1.0986122886681098,"(1,2]"
911,957,"trial of hypofractionated radiotherapy in combination with medi4736 and tremelimumab for patients with metastatic melanoma and lung, breast and pancreatic cancers","Active, not recruiting",1,0,0,Metastatic|Melanoma|Non Small Cell Lung Cancer (NSCLC)|Breast Cancer|Pancreatic Cancer,drug or biologic,Early,30,All,AllOther,1,1,0,2015,2016,2013,1,Phase 1,0,NA,0,3.4011973816621555,"(3,4]"
2629,3531,vemurafenib and panitumumab combination therapy in patients with braf v600e mutated metastatic colorectal cancer,Completed,4,0,0,Metastatic Colorectal Cancer,drug or biologic,Early,16,All,Industry&Combos,0,NA,0,2013,2013,789,0,Phase 1,1,NA,1,2.772588722239781,"(2,3]"
1651,1816,"radiation therapy in treating patients with hepatocellular carcinoma, cholangiocarcinoma, or liver metastasis who have impaired liver function",Recruiting,2,0,0,Cholangiocarcinoma|Cirrhosis|Hepatocellular Carcinoma|Metastatic Malignant Neoplasm in the Liver,procedure,Others,88,All,NIH&Combos,0,NA,0,2015,2016,2205,0,Others,1,NA,1,4.477336814478207,"(4,5]"
2301,2890,clinical trial of metastasis inhibitor np-g2-044 in patients with advanced or metastatic treatment-refractory solid tumor malignancies,Completed,4,0,0,Breast Cancer|Pancreas Cancer|Prostate Cancer|Lung Cancer|Colon Cancer|Esophagus Cancer|Liver Cancer|Ovary Cancer|Advanced or Metastatic Treatment-refractory Solid Tumor Malignancies,drug or biologic,Early,23,All,Industry&Combos,0,NA,0,2017,2017,868,0,Phase 1,1,NA,1,3.1354942159291497,"(3,4]"
3604,5678,stem cell fistula plug in perianal crohn's disease,Completed,4,0,0,Perianal Crohn's Disease,drug or biologic,Early,20,All,AllOther,0,NA,0,2013,2013,2344,0,Phase 1,1,NA,1,2.995732273553991,"(2,3]"
2298,2879,study of high-dose oral vitamin d for the prevention of liver cancer,Withdrawn,7,0,0,Cirrhosis|Hepatocellular Carcinoma,drug or biologic,Early,NA,All,AllOther,2,1,4,2013,2013,893,1,Phase 1,0,NA,0,NA,NA
98,98,a dose escalation trial of sbrt after induction chemotherapy for locally advanced pancreatic cancer,"Active, not recruiting",1,0,0,Pancreatic Cancer,drug or biologic,Early,15,All,AllOther,0,NA,0,2016,2016,932,0,Phase 1,1,NA,1,2.70805020110221,"(2,3]"
1595,1745,24hr imaging of hcc after eovist,Withdrawn,7,0,0,Hepatocellular Carcinoma,drug or biologic,Early,NA,All,AllOther,0,NA,2,2013,2013,577,0,Early Phase 1,1,NA,1,NA,NA
1620,1775,probiotic detection and persistence study,Completed,4,0,0,Healthy,drug or biologic,Early,31,All,AllOther,0,NA,4,2019,2019,82,0,Early Phase 1,1,NA,1,3.4339872044851463,"(3,4]"
701,735,a study to evaluate the effect of iv doses of rivipansel in subjects with moderate hepatic impairment and in healthy subjects with normal hepatic function,Completed,4,1,1,Moderate Hepatic Impairment|Normal Hepatic Function,drug or biologic,Early,16,All,Industry&Combos,1,1,4,2016,2016,153,1,Phase 1,0,NA,0,2.772588722239781,"(2,3]"
2153,2591,digestive endoscopy suite radiation controlling protective strategies,Completed,4,0,0,Radiation Exposure,device,Others,2,All,AllOther,3,0,1,2014,2013,92,3,Others,2,NA,2,0.6931471805599453,"(0,1]"
3781,6555,naproxen in preventing dna mismatch repair deficient colorectal cancer in patients with lynch syndrome,Completed,4,0,0,Lynch Syndrome,drug or biologic,Early,81,All,NIH&Combos,1,0,1,2014,2014,2097,1,Phase 1,2,NA,2,4.394449154672439,"(4,5]"
3553,5450,regorafenib plus pembrolizumab in first line systemic treatment of hcc,"Active, not recruiting",1,0,0,"Carcinoma, Hepatocellular",drug or biologic,Early,57,All,Industry&Combos,NA,1,0,2017,2018,913,NA,Phase 1,0,NA,0,4.04305126783455,"(4,5]"
1113,1180,"a study to evaluate the pharmacokinetics, safety and tolerability of pf-06651600 in subjects with hepatic impairment and healthy volunteers",Completed,4,1,1,Hepatic Impairment|Healthy Participants,drug or biologic,Early,18,All,Industry&Combos,1,1,4,2019,2019,230,1,Phase 1,0,safety,0,2.8903717578961645,"(2,3]"
4108,8202,a study to evaluate the effect of multiple doses of esomeprazole on the pharmacokinetics of isavuconazole,Completed,4,0,0,Pharmacokinetics of Isavuconazole|Healthy Subjects,drug or biologic,Early,24,All,Industry&Combos,1,0,4,2014,2014,31,1,Phase 1,0,pharmacokinetics only,0,3.1780538303479458,"(3,4]"
3847,6947,"a study to assess cyp3a4 modulator, oral contraceptive, and ph modifier drug interactions for abi-h2158 in healthy adults",Completed,4,0,0,Chronic Hepatitis B,drug or biologic,Early,80,All,Industry&Combos,1,1,0,2019,2019,86,1,Phase 1,0,NA,0,4.382026634673881,"(4,5]"
2029,2398,momelotinib combined with capecitabine and oxaliplatin in adults with relapsed/refractory metastatic pancreatic ductal adenocarcinoma,Terminated,5,0,0,Relapsed/Refractory Metastatic Pancreatic Ductal Adenocarcinoma,drug or biologic,Early,16,All,Industry&Combos,1,1,0,2014,2014,854,1,Phase 1,0,NA,0,2.772588722239781,"(2,3]"
4101,8126,"to assess the effect of renal impairment on the blood levels of daclatasvir (dcv), asunaprevir (asv) and bms-791325 after multiple doses of a fixed dose combination tablet",Completed,4,0,0,Hepatitis C,drug or biologic,Early,41,All,Industry&Combos,0,NA,NA,2014,2014,61,0,Phase 1,1,NA,1,3.713572066704308,"(3,4]"
3145,4276,(navigator) study of blu-285 in patients with gastrointestinal stromal tumors (gist) and other relapsed and refractory solid tumors,Completed,4,1,1,Gastrointestinal Stromal Tumors (GIST)|Other Relapsed or Refractory Solid Tumors,drug or biologic,Early,250,All,Industry&Combos,NA,1,0,2015,2015,1679,NA,Phase 1,0,NA,0,5.521460917862246,"(5,6]"
1092,1154,autologous redirected rna meso car t cells for pancreatic cancer,Completed,4,0,0,Subjects With Metastatic Pancreatic Ductal Adenocarcinoma (PDA),drug or biologic,Early,16,All,AllOther,0,NA,0,2013,2013,883,0,Phase 1,1,NA,1,2.772588722239781,"(2,3]"
1203,1281,elafibranor pharmacokinetic parameters in hepatic impaired patients,Completed,4,0,0,Hepatic Impairment|Liver Disease|Pharmacokinetics,drug or biologic,Early,30,All,Industry&Combos,1,1,4,2018,2018,177,1,Phase 1,0,NA,0,3.4011973816621555,"(3,4]"
4065,7784,effect of proton pump inhibitors on endothelial function,Unknown status,8,0,0,Endothelial Dysfunction,drug or biologic,Early,20,All,AllOther,3,0,NA,2013,2013,426,3,Phase 1,0,NA,0,2.995732273553991,"(2,3]"
2129,2552,"a study of bms-986171 in healthy people to assess safety, to measure blood levels of drug, and to find out what the drug does to the body",Completed,4,0,0,Liver Fibrosis/NASH,drug or biologic,Early,275,All,Industry&Combos,1,0,4,2015,2015,370,1,Phase 1,3,safety,2,5.616771097666572,"(5,6]"
3840,6907,a pharmacokinetic study of ustekinumab in pediatric subjects with moderately to severely active crohn's disease,"Active, not recruiting",1,0,0,Crohn Disease,drug or biologic,Early,45,All,Industry&Combos,1,0,0,2016,2017,608,1,Phase 1,2,NA,2,3.8066624897703196,"(3,4]"
2133,2559,spif clinical study protocol in autoimmune hepatitis,Completed,4,1,1,Autoimmune Hepatitis,drug or biologic,Early,36,Female,Industry&Combos,1,0,0,2014,2014,528,1,Phase 1,4,NA,2,3.58351893845611,"(3,4]"
2232,2750,hepatic arterial infusion with floxuridine and dexamethasone in combination with gemcitabine as adjuvant treatment after resection of intrahepatic cholangiocarcinoma,Completed,4,0,0,Intrahepatic Cholangiocarcinoma|Peripheral Cholangiocarcinoma|Cholangiolar Carcinoma|Cholangiocellular Carcinoma) (ICC),drug or biologic,Early,8,All,AllOther,0,NA,0,2013,2013,2562,0,Phase 1,1,NA,1,2.0794415416798357,"(2,3]"
3743,6317,"safety and immunogenicity of two live, attenuated oral shigella sonnei vaccines: wrss2 and wrss3",Completed,4,0,0,Shigella Infection,drug or biologic,Early,89,All,NIH&Combos,1,0,1,2011,2013,855,1,Phase 1,2,safety,2,4.48863636973214,"(4,5]"
2520,3356,stereotactic body radiotherapy (sbrt) followed by immunotherapy in liver cancer,Terminated,5,0,0,Hepatocellular Carcinoma,drug or biologic,Early,14,All,AllOther,1,0,0,2017,2017,565,1,Phase 1,0,NA,0,2.6390573296152584,"(2,3]"
2533,3397,"ph1b study of oraxol in comb. w. ramucirumab in patients w. gastric, gastro-esophageal, or esophageal cancers","Active, not recruiting",1,0,0,Gastric Cancer|Esophageal Cancer|Gastro-esophageal Cancer,drug or biologic,Early,36,All,Industry&Combos,NA,NA,0,2016,2016,839,NA,Phase 1,0,NA,0,3.58351893845611,"(3,4]"
3101,4204,a study to test the safety and feasibility of nivolumab with drug eluting bead transarterial chemoembolization in patients with liver cancer,Recruiting,2,0,0,Liver Cancer,drug or biologic,Early,14,All,Industry&Combos,1,1,0,2017,2017,1799,1,Early Phase 1,0,safety,0,2.6390573296152584,"(2,3]"
2974,3988,safety of secretrol ® in the short-term management of patients undergoing endoscopic mucosal resection (emr),Unknown status,8,0,0,EMR Ulcer,drug or biologic,Early,5,All,Industry&Combos,0,NA,0,2014,2013,852,0,Phase 1,1,safety,1,1.6094379124341003,"(1,2]"
3935,7329,a study of the immune response to heplisav in healthy older adults,Completed,4,0,0,Hepatitis B,drug or biologic,Early,25,All,Industry&Combos,0,NA,4,2013,2013,457,0,Phase 1,1,NA,1,3.2188758248682006,"(3,4]"
72,72,gerd and anti-reflux therapy between able-bodied and sci individuals,Unknown status,8,0,0,Gastro Esophageal Reflux Disorder,drug or biologic,Early,110,All,AllOther,1,0,0,2015,2016,730,1,Phase 1,0,NA,0,4.700480365792417,"(4,5]"
1337,1429,temporary celiac ganglion block as a test before celiac ganglion resection for dysautonomia-related bowel dysmotility,Completed,4,0,0,Dysautonomia,drug or biologic,Early,15,All,AllOther,0,NA,2,2019,2019,523,0,Phase 1,1,NA,1,2.70805020110221,"(2,3]"
3108,4217,trametinib in treating patients with advanced cancer with or without hepatic dysfunction,Recruiting,2,0,0,Advanced Malignant Solid Neoplasm|Metastatic Malignant Neoplasm in the Liver|Metastatic Malignant Solid Neoplasm|Unresectable Solid Neoplasm,drug or biologic,Early,68,All,NIH&Combos,0,NA,0,2014,2014,2726,0,Phase 1,1,NA,1,4.219507705176107,"(4,5]"
2189,2662,cpi-613 and fluorouracil in treating patients with metastatic colorectal cancer that cannot be removed by surgery,"Active, not recruiting",1,0,0,Mucinous Adenocarcinoma of the Colon|Mucinous Adenocarcinoma of the Rectum|Recurrent Colon Cancer|Recurrent Rectal Cancer|Signet Ring Adenocarcinoma of the Colon|Signet Ring Adenocarcinoma of the Rectum|Stage IIIA Colon Cancer|Stage IIIA Rectal Cancer|Stage IIIB Colon Cancer|Stage IIIB Rectal Cancer|Stage IIIC Colon Cancer|Stage IIIC Rectal Cancer|Stage IVA Colon Cancer|Stage IVA Rectal Cancer|Stage IVB Colon Cancer|Stage IVB Rectal Cancer,drug or biologic,Early,19,All,NIH&Combos,0,NA,0,2014,2015,1505,0,Phase 1,1,NA,1,2.9444389791664403,"(2,3]"
740,774,phase i study mk-3475 with chemotherapy in patients with advanced gi cancers,Terminated,5,0,0,Advanced GI Cancer,drug or biologic,Early,39,All,Industry&Combos,0,NA,0,2014,2015,733,0,Phase 1,1,NA,1,3.6635616461296463,"(3,4]"
3450,5241,"utomilumab, cetuximab, and irinotecan hydrochloride in treating patients with metastatic colorectal cancer","Active, not recruiting",1,0,0,Metastatic Colorectal Carcinoma|Stage IV Colorectal Cancer AJCC v8|Stage IVA Colorectal Cancer AJCC v8|Stage IVB Colorectal Cancer AJCC v8|Stage IVC Colorectal Cancer AJCC v8,drug or biologic,Early,42,All,NIH&Combos,0,NA,0,2017,2017,1465,0,Phase 1,1,NA,1,3.7376696182833684,"(3,4]"
1527,1659,assessment of gut absorption of experimental medication bms-986165 in healthy males,Completed,4,0,0,Psoriasis,drug or biologic,Early,9,Male,Industry&Combos,3,0,0,2019,2019,96,3,Phase 1,0,NA,0,2.1972245773362196,"(2,3]"
2515,3346,health service intervention for the improvement of access and adherence to colorectal cancer screening,Completed,4,0,0,Colorectal Carcinoma,other,Others,185,All,NIH&Combos,0,NA,4,2020,2019,256,0,Others,1,NA,1,5.220355825078324,"(5,6]"
1205,1283,a pharmacokinetic study of baricitinib in participants with liver disease,Completed,4,1,1,Liver Diseases|Hepatic Insufficiency,drug or biologic,Early,16,All,Industry&Combos,1,1,4,2013,2013,30,1,Phase 1,0,NA,0,2.772588722239781,"(2,3]"
1143,1214,low dose il-2 for ulcerative colitis,"Active, not recruiting",1,1,1,Ulcerative Colitis,drug or biologic,Early,26,All,AllOther,0,NA,0,2014,2015,2069,0,Phase 1,1,NA,1,3.258096538021482,"(3,4]"
745,779,"a study to evaluate the safety, tolerability and microbiome dynamics of ser-287 in subjects with mild-to-moderate ulcerative colitis",Completed,4,1,1,Ulcerative Colitis,drug or biologic,Early,58,All,Industry&Combos,1,0,0,2015,2016,693,1,Phase 1,2,safety,2,4.060443010546419,"(4,5]"
2004,2358,fecal microbiota transplant (fmt) for pouchitis,Completed,4,0,0,Pouchitis,drug or biologic,Early,19,All,AllOther,0,NA,0,2015,2015,1047,0,Early Phase 1,1,NA,1,2.9444389791664403,"(2,3]"
2513,3344,palbociclib with cisplatin or carboplatin in advanced solid tumors,Recruiting,2,0,0,Solid Neoplasm|Stage III Pancreatic Cancer|Stage IIIA Breast Cancer|Stage IIIA Non-Small Cell Lung Cancer|Stage IIIB Breast Cancer|Stage IIIB Non-Small Cell Lung Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer|Stage IV Non-Small Cell Lung Cancer|Stage IVA Pancreatic Cancer|Stage IVB Pancreatic Cancer|Sarcoma|Colorectal Cancer|Head and Neck Cancer|Cancer of Unknown Primary|Bladder Cancer|Ovarian Cancer,drug or biologic,Early,90,All,Industry&Combos,1,1,0,2016,2016,1864,1,Phase 1,0,NA,0,4.499809670330265,"(4,5]"
1278,1365,pdt plus vitamin d3 for anal dysplasia,Recruiting,2,0,0,Anal Dysplasia|Carcinoma in Situ,drug or biologic,Early,12,All,AllOther,0,0,0,2016,2019,1127,0,Phase 1,1,NA,1,2.4849066497880004,"(2,3]"
4064,7783,a study investigating the effect of food and esomeprazole on the single oral dose pharmacokinetics of alectinib (ro5424802) in healthy volunteers.,Completed,4,1,1,Healthy Volunteer,drug or biologic,Early,42,All,Industry&Combos,1,1,0,2013,2013,90,1,Phase 1,0,pharmacokinetics only,0,3.7376696182833684,"(3,4]"
579,603,respiratory-gated stereotactic body radiation therapy for adenocarcinoma of the pancreas or periampullary region,"Active, not recruiting",1,0,0,Pancreatic Neoplasms,other,Others,37,All,AllOther,0,NA,0,2016,2016,1205,0,Others,1,NA,1,3.6109179126442243,"(3,4]"
2514,3345,an open-label study of ruxolitinib given with chemotherapy in patients with advanced solid tumors,Terminated,5,1,1,Solid Tumors|Pancreatic Cancer,drug or biologic,Early,42,All,Industry&Combos,0,1,0,2013,2013,883,0,Phase 1,1,NA,1,3.7376696182833684,"(3,4]"
339,345,a pilot study to characterize bile acid metabolism and dysbiosis in primary sclerosing cholangitis,Completed,4,0,0,Primary Sclerosing Cholangitis|Inflammatory Bowel Disease,drug or biologic,Early,8,All,AllOther,0,1,4,2015,2015,670,0,Phase 1,1,NA,1,2.0794415416798357,"(2,3]"
1661,1829,synergistic effect of vedolizumab and pentoxifylline,Completed,4,0,0,Crohn Disease,drug or biologic,Early,37,All,Industry&Combos,1,0,0,2016,2017,704,1,Early Phase 1,4,NA,2,3.6109179126442243,"(3,4]"
969,1020,dose escalation of neoadjuvant proton beam radiotherapy with concurrent chemotherapy in locally advanced esophageal cancer,Recruiting,2,0,0,Esophageal Cancer,drug or biologic,Early,30,All,AllOther,NA,1,2,2014,2014,3196,NA,Phase 1,0,NA,0,3.4011973816621555,"(3,4]"
906,952,pharmacokinetics of pantoprazole and cyp2c19 activity in children and adolescents with gerd: a pilot study,Completed,4,0,0,Obesity|GERD,drug or biologic,Early,62,All,AllOther,0,NA,4,2013,2013,852,0,Phase 1,1,pharmacokinetics only,1,4.127134385045092,"(4,5]"
3248,4567,ocr002-sp103 - oral immediate release study,Completed,4,0,0,Cirrhosis,drug or biologic,Early,30,All,Industry&Combos,3,0,4,2019,2016,472,3,Phase 1,0,NA,0,3.4011973816621555,"(3,4]"
1692,1871,evaluation of hepatic function impairment on the pharmacokinetics of lee011,Completed,4,0,0,Normal Hepatic Function|Impaired Hepatic Function,drug or biologic,Early,30,All,Industry&Combos,1,1,0,2015,2015,656,1,Phase 1,0,pharmacokinetics only,0,3.4011973816621555,"(3,4]"
2281,2846,irinotecan and alisertib in treating patients with advanced solid tumors or colorectal cancer,Completed,4,0,0,"Mucinous Adenocarcinoma of the Colon|Mucinous Adenocarcinoma of the Rectum|Recurrent Colon Cancer|Recurrent Rectal Cancer|Signet Ring Adenocarcinoma of the Colon|Signet Ring Adenocarcinoma of the Rectum|Stage IIIA Colon Cancer|Unspecified Adult Solid Tumor, Protocol Specific",drug or biologic,Early,17,All,IndustryNIHPartnership,0,NA,0,2013,2013,1173,0,Phase 1,1,NA,1,2.833213344056216,"(2,3]"
1799,2032,yttrium y-90 radioembolization in treating patients with metastatic liver cancer,"Active, not recruiting",1,0,0,Metastatic Liver Carcinoma|Stage IV Liver Cancer|Stage IVA Liver Cancer|Stage IVB Liver Cancer,procedure,Others,12,All,NIH&Combos,0,NA,0,2017,2017,1483,0,Others,1,NA,1,2.4849066497880004,"(2,3]"
